cart_id,user_id,product_id,quantity,cart_value,added_at
1,1877,485,2,998,2024-01-22
2,1087,104,2,2998,2024-01-17
3,588,273,2,1998,2024-01-14
4,282,432,2,998,2024-01-03
5,1837,395,1,999,2024-01-04
6,1887,366,1,1499,2024-02-04
7,35,217,2,998,2024-02-23
8,1614,299,1,999,2024-02-16
9,375,116,2,1998,2024-02-24
10,1287,174,2,2998,2024-01-28
11,1987,220,1,999,2024-02-12
12,53,381,1,1499,2024-01-02
13,809,138,1,3999,2024-02-14
14,516,453,1,999,2024-02-17
15,514,294,1,1499,2024-02-07
16,291,252,2,4998,2024-02-16
17,929,443,2,998,2024-01-04
18,485,344,1,499,2024-02-29
19,1897,215,1,499,2024-02-16
20,1458,140,1,1499,2024-02-18
21,653,203,1,1499,2024-01-12
22,1139,347,2,998,2024-02-03
23,1139,463,1,1499,2024-02-06
24,775,271,1,999,2024-02-13
25,124,365,2,1998,2024-02-10
26,1786,428,1,999,2024-01-30
27,1319,485,1,3999,2024-01-21
28,1903,475,1,499,2024-02-25
29,1627,248,2,4998,2024-01-28
30,1585,302,2,998,2024-02-11
31,1411,473,1,999,2024-02-19
32,273,124,2,998,2024-01-05
33,665,377,2,7998,2024-02-02
34,1406,110,2,1998,2024-02-03
35,1246,360,2,7998,2024-02-01
36,1166,105,1,3999,2024-01-27
37,1245,324,2,7998,2024-01-03
38,1797,371,2,1998,2024-02-09
39,199,347,2,7998,2024-02-13
40,83,145,2,7998,2024-02-11
41,929,113,2,4998,2024-02-20
42,1237,123,2,998,2024-02-13
43,1527,464,1,2499,2024-01-04
44,1331,353,1,499,2024-02-05
45,1749,431,1,999,2024-02-26
46,378,361,1,2499,2024-02-05
47,1297,346,1,1499,2024-02-10
48,1662,376,1,999,2024-02-28
49,983,211,2,1998,2024-02-25
50,1085,300,1,499,2024-02-21
51,347,401,1,499,2024-01-03
52,31,204,2,7998,2024-02-19
53,1551,327,2,2998,2024-02-25
54,1384,286,2,1998,2024-02-25
55,552,467,2,1998,2024-01-01
56,1345,269,2,4998,2024-02-08
57,276,286,2,998,2024-02-09
58,745,140,1,2499,2024-02-08
59,418,422,1,499,2024-01-27
60,833,438,2,998,2024-02-13
61,1824,182,2,4998,2024-01-03
62,1264,420,2,4998,2024-02-05
63,1174,441,1,2499,2024-02-06
64,1086,246,2,998,2024-01-30
65,733,434,2,2998,2024-01-01
66,429,246,2,4998,2024-01-10
67,251,380,1,499,2024-01-03
68,11,266,1,2499,2024-02-07
69,417,355,2,2998,2024-01-03
70,550,322,1,1499,2024-02-06
71,577,193,2,7998,2024-02-21
72,1215,475,2,7998,2024-02-03
73,550,260,2,2998,2024-02-21
74,767,347,1,2499,2024-01-20
75,457,367,2,7998,2024-01-11
76,1293,447,1,499,2024-01-19
77,944,257,2,2998,2024-01-27
78,1525,169,1,2499,2024-01-24
79,244,269,1,499,2024-01-06
80,280,497,2,2998,2024-01-01
81,804,360,2,2998,2024-02-26
82,1172,314,1,2499,2024-01-19
83,1579,415,1,2499,2024-02-21
84,1133,177,1,999,2024-02-27
85,1465,292,2,4998,2024-01-10
86,449,468,2,998,2024-02-13
87,956,407,1,3999,2024-02-01
88,99,236,2,4998,2024-02-24
89,1579,243,1,2499,2024-02-17
90,852,134,1,3999,2024-02-06
91,1128,429,2,7998,2024-02-05
92,1217,468,2,2998,2024-01-02
93,627,371,2,2998,2024-02-06
94,46,260,1,3999,2024-01-14
95,574,406,2,7998,2024-02-15
96,626,416,1,3999,2024-01-13
97,1222,178,1,499,2024-02-25
98,764,414,2,1998,2024-02-19
99,105,226,2,998,2024-01-17
100,1946,458,2,1998,2024-01-27
101,29,103,1,1499,2024-02-23
102,169,485,2,7998,2024-01-29
103,1551,426,1,499,2024-01-13
104,634,285,1,3999,2024-02-18
105,869,457,1,3999,2024-01-25
106,1555,161,2,7998,2024-01-24
107,888,453,2,998,2024-02-17
108,457,380,2,7998,2024-02-05
109,1513,426,1,1499,2024-01-23
110,443,380,1,999,2024-01-26
111,1361,222,1,2499,2024-02-17
112,1632,421,2,2998,2024-02-05
113,796,381,2,1998,2024-01-06
114,399,327,1,2499,2024-01-16
115,186,457,1,3999,2024-01-10
116,1589,461,1,1499,2024-02-08
117,298,282,1,2499,2024-02-26
118,1948,230,1,2499,2024-01-27
119,841,256,1,2499,2024-01-02
120,1627,285,2,7998,2024-01-10
121,531,494,1,999,2024-02-17
122,1479,334,2,1998,2024-01-08
123,1497,248,1,1499,2024-01-09
124,1101,142,1,3999,2024-01-13
125,642,103,2,1998,2024-02-21
126,658,424,2,2998,2024-01-08
127,245,297,2,1998,2024-01-27
128,1448,377,2,998,2024-02-15
129,1018,465,1,3999,2024-02-11
130,1717,458,1,499,2024-01-21
131,136,105,1,999,2024-02-10
132,1748,249,1,999,2024-02-03
133,1161,371,2,998,2024-01-29
134,205,263,1,3999,2024-01-30
135,884,277,2,2998,2024-02-13
136,1685,157,1,2499,2024-01-16
137,1884,298,1,499,2024-01-01
138,556,186,2,7998,2024-02-14
139,60,478,1,3999,2024-02-16
140,1863,278,1,2499,2024-01-29
141,249,177,2,2998,2024-02-11
142,1439,146,1,1499,2024-01-30
143,885,233,1,999,2024-01-22
144,638,252,1,999,2024-01-15
145,983,486,2,998,2024-01-20
146,397,368,2,2998,2024-02-07
147,45,214,1,499,2024-01-23
148,2,152,1,999,2024-01-31
149,1186,341,1,499,2024-02-26
150,1221,422,1,2499,2024-01-17
151,706,386,2,998,2024-02-29
152,1854,482,2,1998,2024-02-04
153,559,166,2,1998,2024-01-02
