order_id,user_id,order_value,order_status,order_time
1,1175,5511,success,2024-01-18
2,1155,2396,failed,2024-02-20
3,100,5101,success,2024-01-18
4,1893,5244,failed,2024-01-10
5,547,2682,success,2024-01-06
6,1726,4301,success,2024-01-05
7,512,5669,success,2024-02-14
8,217,2143,failed,2024-01-23
9,19,4097,cancelled,2024-01-25
10,1885,4950,success,2024-01-07
11,1034,2838,success,2024-02-12
12,1266,2738,success,2024-02-26
13,547,3078,success,2024-02-14
14,307,2862,success,2024-01-05
15,1951,3891,success,2024-01-31
16,1290,3252,success,2024-01-19
17,280,2564,failed,2024-02-20
18,105,5887,success,2024-02-05
19,1053,1413,cancelled,2024-02-13
20,1453,5003,success,2024-02-19
21,1232,730,cancelled,2024-02-04
22,80,3703,success,2024-02-12
23,932,586,success,2024-02-26
24,88,5104,success,2024-01-09
25,1124,1288,success,2024-02-29
26,1651,5809,cancelled,2024-01-24
27,909,4594,failed,2024-01-18
28,1187,5939,failed,2024-02-13
29,1189,1166,success,2024-01-09
30,1034,622,success,2024-02-22
31,249,5043,success,2024-02-25
32,360,4119,failed,2024-02-07
33,1717,561,success,2024-02-03
34,11,2978,cancelled,2024-02-02
35,1525,3893,success,2024-01-04
36,1146,4892,success,2024-01-20
37,1438,717,cancelled,2024-01-23
38,336,4000,failed,2024-02-19
39,677,578,success,2024-02-05
40,1440,3312,failed,2024-01-26
41,1802,1035,cancelled,2024-02-12
42,1054,902,failed,2024-01-01
43,68,2234,cancelled,2024-02-08
44,574,2019,success,2024-02-12
45,899,593,success,2024-02-01
46,1753,691,failed,2024-02-17
47,453,4254,success,2024-02-20
48,729,5809,success,2024-01-28
49,888,4010,cancelled,2024-01-24
50,69,4545,success,2024-01-13
51,64,2990,success,2024-02-29
52,1523,3619,success,2024-02-02
53,616,4897,success,2024-01-12
54,498,4136,success,2024-02-02
55,1786,5383,failed,2024-01-14
56,1992,5742,cancelled,2024-01-13
57,1163,1741,success,2024-02-17
58,1264,985,success,2024-02-26
59,849,2499,failed,2024-02-06
60,1081,5684,cancelled,2024-01-27
61,1161,1942,success,2024-01-04
62,181,3195,success,2024-01-04
63,1282,2485,success,2024-02-09
64,1146,5135,success,2024-02-26
65,1150,5535,success,2024-02-16
66,714,4611,cancelled,2024-01-16
67,1075,3006,success,2024-02-08
68,1977,2532,success,2024-02-09
69,866,4915,success,2024-01-18
70,45,2968,success,2024-01-16
71,298,1647,success,2024-02-16
72,1346,3092,success,2024-01-31
73,1944,2325,success,2024-01-26
74,363,5248,success,2024-01-23
75,556,4574,success,2024-02-21
76,1647,3331,cancelled,2024-02-25
77,1595,4375,success,2024-02-27
78,1110,2248,success,2024-02-25
79,1723,5146,success,2024-02-17
80,1254,3690,success,2024-02-17
81,1103,936,success,2024-02-27
82,789,5381,success,2024-01-02
83,1107,2076,success,2024-02-26
84,634,2012,failed,2024-02-07
85,1988,4702,failed,2024-01-11
86,1790,2263,cancelled,2024-01-05
87,1990,3607,success,2024-02-16
88,205,1002,success,2024-01-14
89,226,5647,success,2024-01-16
90,862,1444,failed,2024-02-17
91,628,2744,cancelled,2024-02-10
92,1577,823,success,2024-02-20
93,1358,2452,failed,2024-02-06
94,226,5164,success,2024-01-21
95,556,2870,success,2024-01-08
96,1840,3003,success,2024-01-14
97,1909,3082,failed,2024-01-09
98,980,782,success,2024-01-12
99,1823,917,success,2024-01-15
100,547,5356,success,2024-01-25
101,1931,4788,success,2024-01-21
102,132,5607,failed,2024-02-15
103,1991,5116,success,2024-02-03
104,69,2911,failed,2024-01-26
105,1066,1036,success,2024-02-23
106,584,2625,success,2024-01-04
107,99,1514,failed,2024-01-25
108,1745,5061,failed,2024-02-09
109,803,4836,success,2024-02-01
110,1052,782,success,2024-01-29
111,378,5311,success,2024-01-22
112,1448,2219,failed,2024-02-03
113,270,2594,cancelled,2024-01-19
114,1186,5284,success,2024-02-19
115,33,2177,success,2024-01-06
116,1288,2119,failed,2024-01-20
117,1853,5385,success,2024-01-16
118,1827,1198,success,2024-02-02
119,172,2339,success,2024-01-09
120,1409,2905,success,2024-01-22
121,547,1976,success,2024-02-03
122,1605,3572,success,2024-02-16
123,998,4794,success,2024-01-19
124,982,2552,success,2024-02-25
125,960,1095,success,2024-02-10
126,476,2405,success,2024-02-10
127,1696,668,success,2024-02-06
128,154,1443,success,2024-01-04
129,1360,3006,cancelled,2024-01-05
130,612,3904,success,2024-01-12
131,1959,4516,failed,2024-02-02
132,777,1909,success,2024-02-20
133,434,1842,success,2024-02-28
134,1578,1222,cancelled,2024-01-09
135,1722,2452,success,2024-02-13
136,626,4312,success,2024-02-25
137,1218,4970,success,2024-01-29
138,790,1804,cancelled,2024-01-30
139,1803,3427,success,2024-01-29
140,755,5593,success,2024-02-14
141,65,5857,cancelled,2024-02-21
142,443,5211,success,2024-01-17
143,1324,5104,cancelled,2024-02-04
144,837,3096,failed,2024-01-13
145,1195,736,success,2024-02-15
146,1896,1180,success,2024-02-05
147,1320,866,success,2024-01-04
148,1294,3296,success,2024-01-01
149,1835,3146,success,2024-02-07
150,1708,1526,cancelled,2024-02-12
151,1278,3333,success,2024-01-27
152,1101,2860,success,2024-01-28
153,1153,3495,success,2024-01-25
154,1927,4131,success,2024-01-24
155,997,2567,success,2024-01-02
156,1558,1483,failed,2024-01-23
157,185,2756,success,2024-02-20
158,879,4704,failed,2024-01-22
159,798,3455,failed,2024-01-18
160,1414,4722,success,2024-02-25
161,1390,2489,success,2024-02-21
162,1673,2617,success,2024-02-23
163,1744,5539,success,2024-01-16
164,69,2593,success,2024-02-01
165,1995,5645,success,2024-01-03
166,351,5420,success,2024-01-01
167,1576,2742,success,2024-02-03
168,1239,4719,success,2024-02-14
169,151,4250,success,2024-01-26
170,1414,1079,cancelled,2024-02-15
171,1060,2464,success,2024-02-09
172,360,2665,success,2024-02-29
173,1987,819,failed,2024-02-15
174,516,2345,success,2024-01-06
175,982,5329,success,2024-02-13
176,544,5818,cancelled,2024-02-05
177,1906,1701,failed,2024-01-09
178,208,2682,success,2024-01-07
179,1990,4042,success,2024-01-31
180,888,1971,success,2024-02-02
181,275,3069,cancelled,2024-02-23
182,1098,1601,success,2024-01-04
183,782,3256,success,2024-01-06
184,1095,3761,success,2024-01-11
185,1851,3462,success,2024-02-09
186,129,532,success,2024-01-13
187,105,1640,success,2024-01-09
188,1991,4474,success,2024-02-20
189,642,2065,success,2024-01-18
190,1039,5143,failed,2024-01-26
191,20,3417,success,2024-01-23
192,622,4969,success,2024-01-23
193,589,5310,failed,2024-02-20
194,65,3166,success,2024-01-05
195,881,5207,success,2024-01-10
196,1391,1092,success,2024-02-16
197,854,2710,success,2024-02-09
198,1404,5913,success,2024-01-19
199,1132,5805,cancelled,2024-01-08
200,1528,2610,success,2024-01-15
201,100,675,success,2024-01-19
202,1532,4320,success,2024-01-04
203,402,4917,success,2024-02-04
204,1526,4430,success,2024-02-06
205,1907,3246,success,2024-01-12
206,777,2484,cancelled,2024-01-31
207,1987,1333,success,2024-01-16
208,1730,1640,success,2024-02-09
209,226,2404,failed,2024-01-21
210,1067,834,success,2024-02-24
211,1926,4969,success,2024-01-20
212,112,5023,success,2024-02-29
213,586,4715,failed,2024-02-27
214,851,4147,success,2024-02-19
215,169,1486,success,2024-01-22
216,1809,5700,cancelled,2024-02-13
217,1139,2843,success,2024-01-05
218,1066,5166,failed,2024-01-08
219,1997,3686,failed,2024-01-08
220,1426,1865,success,2024-02-02
221,994,4843,success,2024-01-27
222,1431,5984,success,2024-01-30
223,949,3848,success,2024-01-28
224,951,4686,success,2024-02-09
225,448,546,success,2024-02-20
226,227,5825,cancelled,2024-01-18
