attempt_id,payment_id,attempt_number,attempt_status,attempt_time
1,1,1,failed,2024-01-18 00:09:00
2,1,2,success,2024-01-18 00:10:00
3,2,1,failed,2024-02-20 00:03:00
4,2,2,failed,2024-02-20 00:04:00
5,3,1,success,2024-01-18 00:02:00
6,4,1,failed,2024-01-10 00:09:00
7,5,1,failed,2024-01-06 00:09:00
8,5,2,failed,2024-01-06 00:10:00
9,5,3,success,2024-01-06 00:11:00
10,6,1,failed,2024-01-05 00:05:00
11,6,2,failed,2024-01-05 00:06:00
12,6,3,success,2024-01-05 00:07:00
13,7,1,success,2024-02-14 00:08:00
14,8,1,failed,2024-01-23 00:04:00
15,8,2,failed,2024-01-23 00:05:00
16,9,1,success,2024-01-07 00:10:00
17,10,1,success,2024-02-12 00:02:00
18,11,1,failed,2024-02-26 00:09:00
19,11,2,success,2024-02-26 00:10:00
20,12,1,failed,2024-02-14 00:08:00
21,12,2,success,2024-02-14 00:09:00
22,13,1,failed,2024-01-05 00:09:00
23,13,2,success,2024-01-05 00:10:00
24,14,1,failed,2024-01-31 00:06:00
25,14,2,success,2024-01-31 00:07:00
26,15,1,success,2024-01-19 00:09:00
27,16,1,failed,2024-02-20 00:08:00
28,16,2,failed,2024-02-20 00:09:00
29,16,3,failed,2024-02-20 00:10:00
30,17,1,success,2024-02-05 00:08:00
31,18,1,failed,2024-02-19 00:06:00
32,18,2,failed,2024-02-19 00:07:00
33,18,3,success,2024-02-19 00:08:00
34,19,1,success,2024-02-12 00:08:00
35,20,1,failed,2024-02-26 00:02:00
36,20,2,success,2024-02-26 00:03:00
37,21,1,success,2024-01-09 00:09:00
38,22,1,failed,2024-02-29 00:10:00
39,22,2,success,2024-02-29 00:11:00
40,23,1,failed,2024-01-18 00:05:00
41,24,1,failed,2024-02-13 00:06:00
42,25,1,success,2024-01-09 00:08:00
43,26,1,success,2024-02-22 00:07:00
44,27,1,success,2024-02-25 00:07:00
45,28,1,failed,2024-02-07 00:08:00
46,29,1,success,2024-02-03 00:10:00
47,30,1,success,2024-01-04 00:03:00
48,31,1,failed,2024-01-20 00:06:00
49,31,2,success,2024-01-20 00:07:00
50,32,1,failed,2024-02-19 00:08:00
51,33,1,success,2024-02-05 00:02:00
52,34,1,failed,2024-01-26 00:08:00
53,35,1,failed,2024-01-01 00:10:00
54,35,2,failed,2024-01-01 00:11:00
55,36,1,success,2024-02-12 00:10:00
56,37,1,success,2024-02-01 00:08:00
57,38,1,failed,2024-02-17 00:07:00
58,39,1,success,2024-02-20 00:02:00
59,40,1,success,2024-01-28 00:07:00
60,41,1,failed,2024-01-13 00:05:00
61,41,2,success,2024-01-13 00:06:00
62,42,1,success,2024-02-29 00:05:00
63,43,1,success,2024-02-02 00:03:00
64,44,1,failed,2024-01-12 00:09:00
65,44,2,success,2024-01-12 00:10:00
66,45,1,failed,2024-02-02 00:10:00
