payment_id,order_id,payment_method,bank,payment_status,failure_reason,amount,payment_time
1,1,Wallet,Axis,success,,5511,2024-01-18 00:08:00
2,2,Wallet,ICICI,failed,bank_decline,2396,2024-02-20 00:02:00
3,3,Wallet,SBI,success,,5101,2024-01-18 00:01:00
4,4,Card,SBI,failed,timeout,5244,2024-01-10 00:08:00
5,5,UPI,Axis,success,,2682,2024-01-06 00:08:00
6,6,Card,ICICI,success,,4301,2024-01-05 00:04:00
7,7,Wallet,ICICI,success,,5669,2024-02-14 00:07:00
8,8,UPI,Axis,failed,network,2143,2024-01-23 00:03:00
9,10,Wallet,SBI,success,,4950,2024-01-07 00:09:00
10,11,UPI,HDFC,success,,2838,2024-02-12 00:01:00
11,12,Card,SBI,success,,2738,2024-02-26 00:08:00
12,13,Card,SBI,success,,3078,2024-02-14 00:07:00
13,14,Card,SBI,success,,2862,2024-01-05 00:08:00
14,15,UPI,Axis,success,,3891,2024-01-31 00:05:00
15,16,UPI,HDFC,success,,3252,2024-01-19 00:08:00
16,17,UPI,ICICI,failed,bank_decline,2564,2024-02-20 00:07:00
17,18,UPI,HDFC,success,,5887,2024-02-05 00:07:00
18,20,UPI,HDFC,success,,5003,2024-02-19 00:05:00
19,22,Card,SBI,success,,3703,2024-02-12 00:07:00
20,23,UPI,HDFC,success,,586,2024-02-26 00:01:00
21,24,UPI,HDFC,success,,5104,2024-01-09 00:08:00
22,25,Card,ICICI,success,,1288,2024-02-29 00:09:00
23,27,UPI,HDFC,failed,network,4594,2024-01-18 00:04:00
24,28,UPI,HDFC,failed,insufficient_funds,5939,2024-02-13 00:05:00
25,29,Card,SBI,success,,1166,2024-01-09 00:07:00
26,30,UPI,SBI,success,,622,2024-02-22 00:06:00
27,31,Wallet,Axis,success,,5043,2024-02-25 00:06:00
28,32,UPI,Axis,failed,timeout,4119,2024-02-07 00:07:00
29,33,Card,Axis,success,,561,2024-02-03 00:09:00
30,35,Wallet,HDFC,success,,3893,2024-01-04 00:02:00
31,36,Wallet,Axis,success,,4892,2024-01-20 00:05:00
32,38,UPI,ICICI,failed,timeout,4000,2024-02-19 00:07:00
33,39,UPI,SBI,success,,578,2024-02-05 00:01:00
34,40,Card,SBI,failed,timeout,3312,2024-01-26 00:07:00
35,42,UPI,Axis,failed,network,902,2024-01-01 00:09:00
36,44,Card,SBI,success,,2019,2024-02-12 00:09:00
37,45,Wallet,Axis,success,,593,2024-02-01 00:07:00
38,46,UPI,HDFC,failed,bank_decline,691,2024-02-17 00:06:00
39,47,Card,HDFC,success,,4254,2024-02-20 00:01:00
40,48,Card,SBI,success,,5809,2024-01-28 00:06:00
41,50,Wallet,ICICI,success,,4545,2024-01-13 00:04:00
42,51,UPI,SBI,success,,2990,2024-02-29 00:04:00
43,52,Card,HDFC,success,,3619,2024-02-02 00:02:00
44,53,Wallet,ICICI,success,,4897,2024-01-12 00:08:00
45,54,Wallet,SBI,success,,4136,2024-02-02 00:09:00
46,55,Card,SBI,failed,timeout,5383,2024-01-14 00:01:00
47,57,UPI,ICICI,success,,1741,2024-02-17 00:07:00
48,58,Card,HDFC,success,,985,2024-02-26 00:07:00
49,59,UPI,SBI,failed,bank_decline,2499,2024-02-06 00:07:00
50,61,Wallet,SBI,success,,1942,2024-01-04 00:04:00
51,62,Card,Axis,success,,3195,2024-01-04 00:06:00
52,63,Wallet,HDFC,success,,2485,2024-02-09 00:09:00
53,64,UPI,ICICI,success,,5135,2024-02-26 00:09:00
54,65,UPI,ICICI,success,,5535,2024-02-16 00:04:00
55,67,UPI,Axis,success,,3006,2024-02-08 00:02:00
56,68,Wallet,ICICI,success,,2532,2024-02-09 00:02:00
57,69,Card,ICICI,success,,4915,2024-01-18 00:02:00
58,70,UPI,SBI,success,,2968,2024-01-16 00:01:00
59,71,UPI,ICICI,success,,1647,2024-02-16 00:07:00
60,72,Card,Axis,success,,3092,2024-01-31 00:06:00
61,73,Card,HDFC,success,,2325,2024-01-26 00:05:00
62,74,UPI,SBI,success,,5248,2024-01-23 00:03:00
63,75,UPI,ICICI,success,,4574,2024-02-21 00:03:00
64,77,Card,Axis,success,,4375,2024-02-27 00:01:00
65,78,UPI,Axis,success,,2248,2024-02-25 00:01:00
66,79,UPI,ICICI,success,,5146,2024-02-17 00:08:00
67,80,Card,ICICI,success,,3690,2024-02-17 00:06:00
68,81,Card,HDFC,success,,936,2024-02-27 00:05:00
69,82,UPI,Axis,success,,5381,2024-01-02 00:04:00
70,83,Wallet,HDFC,success,,2076,2024-02-26 00:08:00
71,84,UPI,ICICI,failed,network,2012,2024-02-07 00:09:00
72,85,Wallet,HDFC,failed,timeout,4702,2024-01-11 00:01:00
73,87,UPI,ICICI,success,,3607,2024-02-16 00:02:00
74,88,UPI,HDFC,success,,1002,2024-01-14 00:04:00
75,89,UPI,SBI,success,,5647,2024-01-16 00:06:00
76,90,Card,ICICI,failed,bank_decline,1444,2024-02-17 00:03:00
77,92,UPI,Axis,success,,823,2024-02-20 00:01:00
78,93,UPI,Axis,failed,bank_decline,2452,2024-02-06 00:03:00
79,94,UPI,HDFC,success,,5164,2024-01-21 00:08:00
80,95,Card,ICICI,success,,2870,2024-01-08 00:05:00
81,96,Card,SBI,success,,3003,2024-01-14 00:01:00
82,97,UPI,SBI,failed,insufficient_funds,3082,2024-01-09 00:05:00
83,98,Card,HDFC,success,,782,2024-01-12 00:08:00
84,99,UPI,SBI,success,,917,2024-01-15 00:09:00
85,100,UPI,ICICI,success,,5356,2024-01-25 00:06:00
86,101,Card,Axis,success,,4788,2024-01-21 00:04:00
87,102,Card,SBI,failed,timeout,5607,2024-02-15 00:05:00
88,103,Card,ICICI,success,,5116,2024-02-03 00:03:00
89,104,UPI,Axis,failed,bank_decline,2911,2024-01-26 00:07:00
90,105,UPI,HDFC,success,,1036,2024-02-23 00:04:00
91,106,UPI,SBI,success,,2625,2024-01-04 00:07:00
92,107,UPI,SBI,failed,network,1514,2024-01-25 00:04:00
93,108,Card,ICICI,failed,bank_decline,5061,2024-02-09 00:01:00
94,109,Card,SBI,success,,4836,2024-02-01 00:09:00
95,110,UPI,HDFC,success,,782,2024-01-29 00:07:00
96,111,UPI,SBI,success,,5311,2024-01-22 00:08:00
97,112,UPI,ICICI,failed,insufficient_funds,2219,2024-02-03 00:05:00
98,114,Card,Axis,success,,5284,2024-02-19 00:02:00
99,115,UPI,SBI,success,,2177,2024-01-06 00:02:00
100,116,Card,ICICI,failed,bank_decline,2119,2024-01-20 00:01:00
101,117,Card,HDFC,success,,5385,2024-01-16 00:09:00
102,118,Card,ICICI,success,,1198,2024-02-02 00:07:00
103,119,UPI,Axis,success,,2339,2024-01-09 00:04:00
104,120,UPI,HDFC,success,,2905,2024-01-22 00:05:00
105,121,Wallet,SBI,success,,1976,2024-02-03 00:04:00
106,122,Wallet,HDFC,success,,3572,2024-02-16 00:03:00
107,123,Card,HDFC,success,,4794,2024-01-19 00:09:00
108,124,Wallet,Axis,success,,2552,2024-02-25 00:07:00
109,125,Wallet,SBI,success,,1095,2024-02-10 00:02:00
110,126,Card,ICICI,success,,2405,2024-02-10 00:02:00
111,127,UPI,SBI,success,,668,2024-02-06 00:07:00
112,128,UPI,SBI,success,,1443,2024-01-04 00:09:00
113,130,UPI,HDFC,success,,3904,2024-01-12 00:04:00
114,131,Card,HDFC,failed,network,4516,2024-02-02 00:06:00
115,132,UPI,ICICI,success,,1909,2024-02-20 00:06:00
116,133,UPI,Axis,success,,1842,2024-02-28 00:09:00
117,135,UPI,HDFC,success,,2452,2024-02-13 00:02:00
118,136,Card,SBI,success,,4312,2024-02-25 00:02:00
119,137,UPI,ICICI,success,,4970,2024-01-29 00:05:00
120,139,Wallet,SBI,success,,3427,2024-01-29 00:03:00
121,140,UPI,HDFC,success,,5593,2024-02-14 00:05:00
122,142,Card,SBI,success,,5211,2024-01-17 00:07:00
123,144,Card,ICICI,failed,bank_decline,3096,2024-01-13 00:01:00
124,145,Wallet,Axis,success,,736,2024-02-15 00:04:00
125,146,Card,Axis,success,,1180,2024-02-05 00:04:00
126,147,UPI,ICICI,success,,866,2024-01-04 00:04:00
127,148,UPI,HDFC,success,,3296,2024-01-01 00:03:00
128,149,Card,ICICI,success,,3146,2024-02-07 00:04:00
129,151,UPI,HDFC,success,,3333,2024-01-27 00:07:00
130,152,Wallet,SBI,success,,2860,2024-01-28 00:03:00
131,153,UPI,ICICI,success,,3495,2024-01-25 00:09:00
132,154,UPI,ICICI,success,,4131,2024-01-24 00:08:00
133,155,UPI,ICICI,success,,2567,2024-01-02 00:08:00
134,156,UPI,ICICI,failed,timeout,1483,2024-01-23 00:05:00
135,157,UPI,ICICI,success,,2756,2024-02-20 00:03:00
136,158,UPI,ICICI,failed,bank_decline,4704,2024-01-22 00:02:00
137,159,UPI,SBI,failed,insufficient_funds,3455,2024-01-18 00:04:00
138,160,Card,SBI,success,,4722,2024-02-25 00:02:00
139,161,Card,SBI,success,,2489,2024-02-21 00:09:00
140,162,UPI,HDFC,success,,2617,2024-02-23 00:02:00
141,163,Card,Axis,success,,5539,2024-01-16 00:04:00
142,164,Card,Axis,success,,2593,2024-02-01 00:07:00
143,165,Card,SBI,success,,5645,2024-01-03 00:03:00
144,166,UPI,ICICI,success,,5420,2024-01-01 00:01:00
145,167,Card,Axis,success,,2742,2024-02-03 00:06:00
146,168,UPI,ICICI,success,,4719,2024-02-14 00:01:00
147,169,UPI,SBI,success,,4250,2024-01-26 00:02:00
148,171,UPI,ICICI,success,,2464,2024-02-09 00:06:00
149,172,UPI,Axis,success,,2665,2024-02-29 00:02:00
150,173,Wallet,Axis,failed,timeout,819,2024-02-15 00:05:00
151,174,UPI,Axis,success,,2345,2024-01-06 00:04:00
152,175,Card,HDFC,success,,5329,2024-02-13 00:08:00
153,177,Card,SBI,failed,timeout,1701,2024-01-09 00:02:00
154,178,Card,Axis,success,,2682,2024-01-07 00:02:00
155,179,Card,HDFC,success,,4042,2024-01-31 00:04:00
156,180,UPI,SBI,success,,1971,2024-02-02 00:01:00
157,182,UPI,ICICI,success,,1601,2024-01-04 00:03:00
158,183,Wallet,Axis,success,,3256,2024-01-06 00:08:00
159,184,Wallet,HDFC,success,,3761,2024-01-11 00:09:00
160,185,Card,ICICI,success,,3462,2024-02-09 00:03:00
161,186,Card,Axis,success,,532,2024-01-13 00:07:00
162,187,UPI,Axis,success,,1640,2024-01-09 00:04:00
163,188,Card,SBI,success,,4474,2024-02-20 00:03:00
164,189,Card,ICICI,success,,2065,2024-01-18 00:05:00
165,190,UPI,HDFC,failed,insufficient_funds,5143,2024-01-26 00:09:00
166,191,Card,Axis,success,,3417,2024-01-23 00:04:00
