view_id,session_id,product_id,category,price
1,2934,286,Fashion,499
2,3519,128,Fashion,3999
3,4510,257,Fashion,5999
4,4527,473,Electronics,2499
5,3168,334,Beauty,2499
6,1919,377,Home,499
7,2219,201,Fashion,3999
8,1341,324,Home,3999
9,4640,374,Electronics,2499
10,1515,422,Fashion,5999
11,1412,331,Electronics,1499
12,3037,441,Fashion,499
13,4168,373,Home,499
14,1023,464,Electronics,999
15,4628,212,Fashion,3999
16,2287,488,Home,3999
17,2759,238,Home,999
18,4673,315,Home,2499
19,3772,413,Fashion,2499
20,1113,373,Home,499
21,1946,427,Home,2499
22,4809,448,Fashion,1499
23,1559,283,Electronics,1499
24,3880,411,Home,1499
25,642,293,Fashion,999
26,2238,378,Electronics,5999
27,4908,371,Home,1499
28,3487,399,Fashion,999
29,3226,171,Beauty,499
30,1015,295,Fashion,499
31,2022,369,Home,5999
32,2677,492,Electronics,1499
33,1541,430,Electronics,999
34,2937,339,Electronics,1499
35,3107,207,Home,5999
36,784,499,Home,5999
37,671,496,Electronics,2499
38,2770,391,Electronics,999
39,2574,399,Electronics,999
40,2585,199,Electronics,999
41,4943,180,Fashion,999
42,1278,369,Home,2499
43,3044,448,Beauty,1499
44,3173,116,Electronics,499
45,3783,292,Fashion,5999
46,178,311,Beauty,3999
47,276,452,Beauty,3999
48,2360,225,Electronics,999
49,3482,409,Electronics,999
50,4887,225,Fashion,499
51,3360,229,Electronics,3999
52,1425,244,Beauty,999
53,4123,355,Electronics,5999
54,2961,122,Fashion,5999
55,2470,313,Fashion,2499
56,3086,228,Fashion,3999
57,2373,111,Fashion,2499
58,4069,240,Fashion,499
59,1591,367,Electronics,499
60,4381,156,Home,3999
61,1113,185,Fashion,5999
62,1069,373,Home,1499
63,2546,202,Electronics,3999
64,3650,438,Fashion,2499
65,1815,449,Home,1499
66,3908,242,Home,2499
67,3732,433,Beauty,2499
68,2193,428,Home,2499
69,82,275,Beauty,999
70,3707,232,Beauty,1499
71,3177,443,Home,999
72,1826,363,Beauty,999
73,82,246,Home,2499
74,94,111,Beauty,499
75,343,427,Fashion,5999
76,2409,491,Fashion,3999
77,1855,154,Fashion,499
78,4000,329,Home,2499
79,1090,221,Home,3999
80,624,448,Electronics,5999
81,868,332,Home,3999
82,2477,261,Electronics,5999
83,3473,181,Electronics,2499
84,171,146,Fashion,999
85,1783,463,Home,3999
86,578,390,Home,5999
87,68,259,Electronics,3999
88,1516,278,Electronics,3999
89,1,461,Home,3999
90,2199,307,Electronics,1499
91,902,489,Home,999
92,4846,492,Home,1499
93,795,139,Beauty,1499
