session_id,user_id,session_start,traffic_source,pages_viewed
1,796,2024-01-23,organic,8
2,1888,2024-02-08,ads,2
3,107,2024-01-28,ads,1
4,98,2024-01-19,organic,10
5,1904,2024-02-18,referral,13
6,1506,2024-02-17,ads,9
7,1523,2024-01-30,ads,11
8,1254,2024-01-21,organic,8
9,1281,2024-01-24,organic,6
10,43,2024-01-21,referral,4
11,242,2024-01-26,ads,2
12,1578,2024-02-20,organic,8
13,95,2024-02-26,organic,3
14,1970,2024-02-19,ads,10
15,1790,2024-02-20,ads,4
16,188,2024-02-29,referral,5
17,385,2024-02-05,organic,13
18,819,2024-01-26,organic,4
19,1424,2024-02-02,organic,11
20,1530,2024-02-28,organic,8
21,1191,2024-02-05,organic,9
22,1807,2024-01-04,referral,14
23,1149,2024-01-09,ads,14
24,1697,2024-01-08,ads,14
25,87,2024-01-02,organic,1
26,1845,2024-01-29,organic,2
27,489,2024-01-23,organic,12
28,226,2024-01-06,organic,4
29,1681,2024-02-24,ads,1
30,345,2024-02-12,organic,11
31,1784,2024-02-05,organic,6
32,1898,2024-02-15,organic,12
33,518,2024-01-21,organic,5
34,1055,2024-01-22,ads,13
35,1733,2024-01-09,organic,7
36,1768,2024-02-03,ads,12
37,296,2024-02-28,ads,6
38,414,2024-02-26,organic,14
39,1861,2024-01-26,organic,14
40,1996,2024-01-01,ads,3
41,135,2024-02-05,ads,5
42,525,2024-02-13,organic,3
43,1009,2024-01-05,organic,9
44,4,2024-02-10,organic,2
45,178,2024-01-22,organic,6
46,746,2024-01-04,organic,9
47,259,2024-02-17,organic,10
48,652,2024-01-02,organic,7
49,1089,2024-01-16,organic,5
50,1819,2024-01-16,organic,2
51,1387,2024-02-22,referral,2
52,1842,2024-02-25,ads,4
53,1741,2024-02-25,referral,10
54,1041,2024-01-22,organic,12
55,1224,2024-02-12,ads,2
56,544,2024-01-01,organic,12
57,1236,2024-01-15,ads,13
58,435,2024-01-24,organic,13
59,1297,2024-01-04,organic,8
60,290,2024-01-18,referral,10
61,803,2024-01-17,ads,7
62,483,2024-01-07,referral,7
63,234,2024-02-19,organic,3
64,408,2024-02-14,organic,7
65,694,2024-02-21,organic,8
66,1170,2024-02-21,ads,5
67,562,2024-01-10,ads,1
68,430,2024-01-01,referral,1
69,432,2024-01-02,organic,12
70,1639,2024-02-18,ads,11
71,1569,2024-01-22,organic,14
72,497,2024-02-01,organic,4
73,983,2024-01-29,ads,2
74,1113,2024-02-04,ads,7
75,997,2024-01-17,organic,13
76,1435,2024-01-12,organic,3
77,897,2024-01-24,organic,12
78,1877,2024-01-30,organic,4
79,827,2024-02-13,organic,9
80,1265,2024-01-30,organic,2
81,778,2024-01-20,organic,12
82,223,2024-02-11,referral,8
83,1772,2024-01-07,referral,1
84,1689,2024-02-11,organic,3
85,468,2024-02-19,referral,4
86,569,2024-02-23,ads,14
87,1346,2024-02-07,organic,6
88,375,2024-01-07,organic,1
89,1136,2024-02-29,referral,14
90,527,2024-02-18,ads,8
91,412,2024-01-30,ads,2
92,269,2024-01-12,referral,5
93,626,2024-02-18,organic,6
94,1276,2024-01-31,organic,8
95,1012,2024-01-18,organic,3
96,1398,2024-02-15,organic,12
97,1678,2024-02-12,organic,9
98,1650,2024-01-02,organic,12
99,450,2024-02-22,organic,5
100,802,2024-02-02,organic,8
101,1893,2024-01-11,organic,4
102,1561,2024-02-03,organic,12
103,1392,2024-01-16,organic,9
104,822,2024-02-23,organic,8
105,255,2024-02-04,ads,5
106,1487,2024-02-21,referral,3
107,1292,2024-02-02,organic,1
108,126,2024-01-21,organic,5
109,1417,2024-01-20,referral,5
110,762,2024-01-08,ads,4
111,799,2024-02-20,ads,10
112,1358,2024-01-26,organic,10
113,565,2024-02-02,ads,8
114,1392,2024-01-26,referral,3
115,1579,2024-02-06,ads,12
116,1702,2024-01-30,organic,10
117,1578,2024-01-31,referral,9
118,1916,2024-02-02,ads,3
119,456,2024-01-11,ads,4
120,1712,2024-02-22,organic,6
121,1091,2024-02-10,ads,9
122,1090,2024-01-05,organic,10
123,912,2024-01-02,organic,2
124,1619,2024-01-13,ads,2
125,862,2024-01-18,organic,2
126,617,2024-01-26,ads,5
127,400,2024-01-25,ads,6
128,287,2024-02-13,organic,3
129,1910,2024-01-14,ads,3
130,186,2024-01-05,referral,2
131,284,2024-02-28,organic,11
132,1540,2024-02-25,ads,6
133,650,2024-02-11,organic,1
134,691,2024-02-21,organic,9
135,237,2024-01-02,organic,11
136,1042,2024-01-04,organic,10
137,815,2024-01-12,organic,4
138,928,2024-01-11,referral,14
139,414,2024-01-04,ads,2
140,1956,2024-02-12,ads,13
141,9,2024-01-09,organic,12
142,420,2024-01-10,ads,6
143,29,2024-01-27,organic,5
144,1680,2024-01-06,organic,3
145,348,2024-01-15,organic,13
146,661,2024-02-11,organic,3
147,576,2024-01-31,organic,5
148,1903,2024-01-22,ads,4
149,450,2024-02-22,ads,5
150,380,2024-01-06,organic,2
151,699,2024-02-02,organic,11
152,366,2024-01-29,organic,1
153,1251,2024-01-21,referral,5
154,1142,2024-02-29,ads,11
155,412,2024-02-23,ads,1
156,951,2024-02-25,referral,3
157,356,2024-02-21,organic,8
158,254,2024-01-30,referral,11
159,1567,2024-01-21,organic,8
160,1697,2024-02-05,organic,9
161,727,2024-02-24,ads,1
162,1468,2024-02-27,organic,4
163,681,2024-01-22,ads,6
164,1105,2024-02-15,organic,7
165,1070,2024-01-20,ads,5
166,1073,2024-01-22,organic,13
167,1473,2024-02-21,organic,7
168,810,2024-02-29,referral,11
169,1431,2024-02-09,referral,10
170,1904,2024-01-11,referral,8
171,1307,2024-02-16,ads,10
172,473,2024-01-31,ads,6
173,416,2024-02-20,ads,11
174,979,2024-02-09,organic,4
175,600,2024-01-13,organic,1
176,1145,2024-01-18,organic,11
177,1027,2024-01-22,referral,5
178,1340,2024-02-25,organic,10
179,460,2024-01-17,referral,10
180,1251,2024-02-07,ads,10
181,79,2024-01-25,ads,4
182,1681,2024-02-01,organic,5
183,1778,2024-01-15,organic,4
184,1568,2024-01-13,referral,9
185,775,2024-02-27,organic,3
186,1747,2024-01-26,organic,3
187,1095,2024-02-19,organic,10
188,896,2024-01-11,organic,7
189,1221,2024-01-13,organic,2
190,58,2024-02-02,ads,9
191,1448,2024-02-19,organic,8
192,1493,2024-02-06,ads,12
193,624,2024-02-07,organic,14
194,48,2024-01-01,ads,6
195,1459,2024-02-08,ads,14
196,1209,2024-01-27,organic,13
197,1903,2024-02-05,organic,9
198,839,2024-02-01,organic,11
199,165,2024-02-10,ads,3
200,1751,2024-01-15,ads,4
201,1355,2024-01-31,referral,7
202,330,2024-01-06,organic,1
203,1145,2024-01-25,organic,13
204,213,2024-02-18,organic,1
205,1847,2024-02-21,organic,1
206,507,2024-01-18,ads,12
207,1577,2024-01-22,organic,8
208,1889,2024-01-31,ads,13
209,916,2024-02-05,ads,6
210,801,2024-01-09,ads,3
211,168,2024-02-15,organic,10
212,995,2024-01-03,referral,7
213,1570,2024-02-02,referral,6
214,830,2024-01-27,referral,5
215,996,2024-02-12,ads,3
216,987,2024-01-01,ads,14
217,787,2024-02-13,ads,4
218,427,2024-02-26,organic,13
219,1733,2024-01-09,ads,13
220,1727,2024-01-05,ads,11
221,1245,2024-01-15,referral,11
222,1016,2024-02-19,ads,1
223,1034,2024-01-09,organic,9
224,1144,2024-02-14,ads,5
225,1659,2024-01-28,referral,2
226,1271,2024-01-13,organic,12
227,1384,2024-01-24,organic,11
228,1933,2024-02-14,ads,9
229,1245,2024-02-28,organic,12
230,773,2024-01-10,organic,7
231,1530,2024-02-11,organic,14
232,1082,2024-01-22,referral,14
233,1851,2024-02-08,organic,8
234,1484,2024-02-29,organic,13
235,1152,2024-01-22,ads,3
236,1723,2024-02-06,referral,14
237,717,2024-02-21,referral,7
238,86,2024-02-08,organic,11
239,104,2024-01-20,referral,1
240,143,2024-01-10,organic,6
241,205,2024-01-10,ads,10
242,641,2024-01-26,ads,6
243,1782,2024-01-25,organic,11
244,1062,2024-02-22,ads,10
245,1387,2024-02-25,organic,12
246,1645,2024-01-28,referral,6
247,1333,2024-01-13,organic,3
248,1076,2024-01-15,ads,6
249,1,2024-02-29,organic,14
250,11,2024-02-29,organic,3
251,1850,2024-01-06,referral,10
252,747,2024-02-21,ads,9
253,1664,2024-01-12,referral,7
254,1960,2024-01-19,organic,14
255,1238,2024-02-01,organic,13
256,956,2024-01-11,ads,4
257,755,2024-02-07,organic,3
258,1580,2024-02-02,organic,6
259,518,2024-01-02,ads,9
260,1692,2024-02-24,organic,3
261,1439,2024-01-15,organic,8
262,1032,2024-02-05,organic,6
263,5,2024-01-05,ads,4
264,1386,2024-01-15,ads,5
265,694,2024-02-12,organic,3
266,112,2024-01-10,ads,14
267,1004,2024-01-17,organic,2
268,273,2024-02-03,referral,9
269,422,2024-02-21,referral,13
270,265,2024-01-24,ads,3
271,1482,2024-01-10,organic,6
272,212,2024-02-21,ads,5
273,1102,2024-01-30,ads,10
274,782,2024-01-03,referral,11
275,666,2024-02-20,referral,8
276,1245,2024-02-29,referral,5
277,369,2024-02-06,organic,11
278,958,2024-01-03,referral,8
279,347,2024-02-09,ads,11
280,25,2024-01-05,ads,5
281,976,2024-01-28,organic,11
282,1444,2024-02-13,organic,10
283,1378,2024-01-14,organic,13
284,1744,2024-02-08,organic,6
285,417,2024-01-11,organic,5
286,515,2024-01-08,referral,2
287,215,2024-02-06,organic,10
288,1931,2024-01-08,organic,10
289,1136,2024-01-12,organic,6
290,954,2024-01-15,organic,14
291,1728,2024-01-19,referral,7
292,914,2024-02-17,organic,3
293,1583,2024-02-15,organic,3
294,428,2024-01-28,referral,12
295,733,2024-01-07,referral,7
296,699,2024-02-09,organic,11
297,1586,2024-01-07,ads,10
298,1733,2024-01-30,ads,4
299,216,2024-01-18,ads,2
300,413,2024-01-24,organic,9
301,1757,2024-01-06,referral,14
302,380,2024-02-27,organic,13
303,1626,2024-02-20,organic,9
304,232,2024-01-04,organic,6
305,835,2024-02-24,organic,14
306,258,2024-01-03,referral,2
307,1689,2024-02-18,ads,3
308,1280,2024-02-23,organic,5
309,403,2024-02-20,organic,11
310,424,2024-02-28,organic,11
311,770,2024-02-16,referral,5
312,65,2024-02-27,ads,13
